,0
session1_rainfall_share,0.05424596
session0_compound_on_best_lap,0.051803533
session1_avg_speed,0.048470195
session2_best_lap_time,0.04709019
session2_throttle_mean,0.03837254
session2_gap_to_session_best,0.037283394
session1_n_flying_laps,0.034505174
session0_track_temp_mean,0.033931937
session2_best_sector3_time,0.033852994
session2_best_sector2_time,0.031739723
session2_air_temp_mean,0.028888663
session0_air_temp_mean,0.025124539
session0_avg_run_length,0.021586794
session0_best_sector1_time,0.02136179
session2_median_flying_lap_time,0.01954753
session1_gap_to_session_best,0.018606931
session2_track_temp_mean,0.018395172
session0_best_sector3_time,0.017942533
session2_throttle_full_pct,0.01705822
session2_rainfall_share,0.014946348
session1_track_temp_mean,0.013941664
session1_best_sector3_time,0.013843919
session0_best_sector2_time,0.013720443
session2_best_sector1_time,0.013542232
session0_avg_speed,0.013489662
session2_best_lap_session_position,0.012546626
session1_humidity_mean,0.012501074
session2_max_speed,0.012292526
session1_max_speed,0.011055888
session1_air_temp_mean,0.0109728165
session0_max_speed,0.010926848
session1_best_sector2_time,0.010592366
session1_best_sector1_time,0.010421682
session1_long_run_avg_pace,0.009525273
session2_lap_time_std,0.009462003
session2_avg_speed,0.009346671
session1_median_flying_lap_time,0.009242672
session0_wind_speed_mean,0.008501118
session0_median_flying_lap_time,0.008289567
session2_tyre_life_on_best_lap,0.0074956836
session1_wind_speed_mean,0.006673819
session1_throttle_mean,0.006218082
session0_gap_to_session_best,0.006193681
session1_best_lap_session_position,0.0060930518
session1_throttle_full_pct,0.0060772956
session0_n_flying_laps,0.006050132
session0_best_lap_session_position,0.0056735403
session1_braking_events,0.005651777
session1_tyre_life_on_best_lap,0.00547707
session0_best_lap_time,0.0054229894
session1_lap_time_std,0.0052760364
session0_throttle_full_pct,0.005161079
session1_best_lap_time,0.005135791
session1_compound_on_best_lap,0.0051256027
session0_best_lap_number,0.004915584
session1_longest_run_length,0.004861521
session2_humidity_mean,0.0047393846
session2_long_run_avg_pace,0.00467209
session1_n_runs,0.0041206744
session0_humidity_mean,0.0040015816
session2_n_flying_laps,0.0039531295
session0_longest_run_length,0.003831839
session2_wind_speed_mean,0.0038104015
session2_avg_run_length,0.0037480996
session2_best_lap_number,0.0036277866
session1_avg_run_length,0.0036172974
session0_braking_events,0.0035487714
session0_throttle_mean,0.0035145096
session0_tyre_life_on_best_lap,0.0033742664
session0_lap_time_std,0.002964087
session2_compound_on_best_lap,0.002957929
session0_long_run_avg_pace,0.0028002632
session2_braking_events,0.002726764
session1_best_lap_number,0.0025693853
session2_longest_run_length,0.0024384423
session0_rainfall_share,0.0023356462
session0_n_runs,0.0022342931
session2_n_runs,0.0019414661
