,0
session2_gap_to_session_best,0.3213149236482729
session1_gap_to_session_best,0.1517486579858045
session0_track_temp_mean,0.1039147871581505
session2_rainfall_share,0.09685800368220043
session2_track_temp_mean,0.05134862848643733
session0_gap_to_session_best,0.04000117713087126
session1_track_temp_mean,0.034107100016725324
session2_avg_speed,0.031435464091001245
session1_n_runs,0.0314041297116606
session1_wind_speed_mean,0.027532119283137035
session1_long_run_avg_pace,0.02290932711678941
session2_humidity_mean,0.021437014152204937
session0_avg_speed,0.01803593725223198
session0_max_speed,0.013682881215459419
session1_median_flying_lap_time,0.009818450554179847
session1_best_lap_time,0.009105543858824783
session1_n_flying_laps,0.0072993434380378645
session1_best_sector2_time,0.007160303959779357
session0_air_temp_mean,0.0070634108611134835
session0_lap_time_std,0.005450868928365704
session2_best_lap_session_position,0.0052621649449378525
session2_best_sector3_time,0.004592126244890959
session0_long_run_avg_pace,0.004344997419082786
session0_throttle_full_pct,0.004104418087422568
session2_best_lap_time,0.003802974124058123
session2_long_run_avg_pace,0.003768322055988227
session0_best_lap_time,0.0033183323493382487
session0_best_lap_session_position,0.003267038975491321
session1_best_sector3_time,0.003160266595609462
session1_throttle_full_pct,0.0030465260654322533
session2_best_lap_number,0.0028348797417766304
session0_best_sector1_time,0.002655378027061639
session0_humidity_mean,0.002418321714380234
session1_avg_run_length,0.0020227127435421986
session2_best_sector1_time,0.001943994427339879
session0_best_sector2_time,0.0017539269767773203
session1_lap_time_std,0.0014848282200996099
session2_throttle_full_pct,0.001348082826994057
session2_max_speed,0.001103211072719601
session1_air_temp_mean,0.0010465945933755716
session0_median_flying_lap_time,0.0009509145191310519
session2_wind_speed_mean,0.0005501207606602776
session2_braking_events,0.0005297024300291664
session1_max_speed,0.0004965813469511194
session1_throttle_mean,0.00041990518545755864
session0_throttle_mean,0.0003021053537392682
session0_braking_events,0.00016303822211076734
session1_best_lap_number,0.00015928904932303035
session2_air_temp_mean,-0.00013651448646578856
session0_wind_speed_mean,-0.00014159244831986052
session0_compound_on_best_lap,-0.0001637919563524548
session1_humidity_mean,-0.00021465371064790517
session2_n_runs,-0.00022807770012165385
session0_n_flying_laps,-0.0004353757103372935
session2_n_flying_laps,-0.000530334748468153
session0_tyre_life_on_best_lap,-0.0005700746387893752
session1_avg_speed,-0.0006065850096099723
session1_longest_run_length,-0.0006559930338591258
session1_best_lap_session_position,-0.0007599751250286779
session0_rainfall_share,-0.0007889721002165562
session2_compound_on_best_lap,-0.0008494005158416584
session1_tyre_life_on_best_lap,-0.0008887054310169785
session1_compound_on_best_lap,-0.000910651544037222
session2_throttle_mean,-0.0015785861162917136
session0_n_runs,-0.0016316133296381708
session1_best_sector1_time,-0.0016407396580304212
session0_avg_run_length,-0.0016692497061069566
session0_best_lap_number,-0.0016827403069001434
session2_longest_run_length,-0.0019322843263455346
session0_longest_run_length,-0.002789431422921362
session1_rainfall_share,-0.002837701492298894
session2_median_flying_lap_time,-0.0028677623233833494
session2_best_sector2_time,-0.0033750329036570824
session1_braking_events,-0.00368296437447726
session2_avg_run_length,-0.004927526755174672
session0_best_sector3_time,-0.012855288501784612
session2_lap_time_std,-0.01361665953461122
session2_tyre_life_on_best_lap,-0.034494246650856784
