feature,mean_abs_shap_low_error,mean_signed_shap_low_error,mean_abs_shap_high_error,mean_signed_shap_high_error,abs_shap_diff_high_minus_low
gap_to_session_best,0.08394746578460571,-0.05277741087157746,0.20144927947673025,0.09311171177935632,0.11750181369212453
tyre_life_on_best_lap,0.0,0.0,0.02945953896409311,-0.02945953896409311,0.02945953896409311
compound_on_best_lap,0.0018966913063575923,-0.0018966913063575923,0.030517634015633673,0.028153584241992498,0.028620942709276082
rainfall_share,0.008205157500596088,-0.008205157500596088,0.03214781930830936,0.015450571359447017,0.02394266180771327
best_lap_number,0.009622564208291958,0.0017743898631591422,0.026985939046824083,-0.007560343822471913,0.017363374838532127
best_sector3_time,0.001198875197001284,0.001198875197001284,0.012998249935474123,0.012998249935474123,0.01179937473847284
humidity_mean,0.0011503187286357867,-0.0011503187286357867,0.008507776637110625,0.008507776637110625,0.007357457908474838
avg_run_length,0.019520260086448336,-0.00779977403012679,0.026124579406866886,-0.00979126389813688,0.00660431932041855
lap_time_std,0.0026958999172743566,-0.0026958999172743566,0.008812092764358232,0.008812092764358232,0.006116192847083875
best_lap_time,0.003058598385650926,0.0012257325845195823,0.006509373192523157,-0.005059055202012188,0.0034507748068722307
long_run_avg_pace,0.0011879604465796403,0.0011879604465796403,0.003953036709909346,0.0030842143756181608,0.0027650762633297053
best_lap_session_position,0.005633168570726621,-7.734965172279858e-05,0.006612235724835099,0.004968184654963196,0.0009790671541084778
avg_speed,0.000664148503253005,-0.00015846536663574273,0.0015939893636157697,0.0015939893636157697,0.0009298408603627648
throttle_mean,0.0002040880500056768,-0.0002040880500056768,0.0009472123793561004,0.0009472123793561004,0.0007431243293504236
max_speed,0.0,0.0,0.0006904292371621123,0.0006904292371621123,0.0006904292371621123
n_runs,0.01977845414195821,0.00905458525351823,0.020402857616068804,-0.01034713497265727,0.0006244034741105936
wind_speed_mean,0.0,0.0,0.0005711148058913002,0.00022351268669054317,0.0005711148058913002
n_flying_laps,0.0,0.0,0.00048498383138545774,0.00048498383138545774,0.00048498383138545774
longest_run_length,0.003864047361287858,0.0008294424260642196,0.0038863571685009424,-0.0038863571685009424,2.230980721308444e-05
best_sector2_time,0.00021799826693098636,-0.00021799826693098636,0.0,0.0,-0.00021799826693098636
best_sector1_time,0.002276264413415366,-0.0004540877064146563,0.0019166964416088414,0.0019166964416088414,-0.00035956797180652445
air_temp_mean,0.0003977301655540392,-0.0003977301655540392,0.0,0.0,-0.0003977301655540392
median_flying_lap_time,0.0014012737374252985,0.0005324542590035247,0.000660971898330399,-0.000660971898330399,-0.0007403018390948995
track_temp_mean,0.012236845327534437,0.010168568731273097,0.0023139861666067484,-0.0023139861666067484,-0.009922859160927689
braking_events,0.014944628384463239,-0.014944628384463239,0.003525426273267595,0.00013901015998308829,-0.011419202111195643
throttle_full_pct,0.013543245992424088,0.011197782826959811,0.0006812840932848608,-0.0006812840932848608,-0.012861961899139226
era,0.021719449705493016,0.021290578376743342,0.0,0.0,-0.021719449705493016
